+--------------------------------------------------+------------------+-------------------+-----------------+--------------------+----------------------------------+--------------------+-----------------------------------+-----------------+--------------------+------------+------------------+------------------+
|operator_address                                  |score             |voting_power_score |tokens_proportion|commission_rate     |self_bonded                       |self_bonded_score   |delegator_shares                   |tokens           |commission_score    |block_height|vote_propose_score|label             |
+--------------------------------------------------+------------------+-------------------+-----------------+--------------------+----------------------------------+--------------------+-----------------------------------+-----------------+--------------------+------------+------------------+------------------+
|oraivaloper12ru3276mkzuuay6vhmg3t6z9hpvrsnplm2994n|5.758165011182685 |0.0                |0.0522360000     |0.030000000817692673|972508660000000000000000000.0000  |0.01085878664900298 |43304943221000000000000000000.0000 |43304943221.0000 |0.6999999918230734  |7100499     |0.7341118676480971|5.755598703675002 |
|oraivaloper164kva2j3h637plt2frxeqzdtjg9c0ks60mnq0d|0.0               |0.9997480000000001 |0.0000080000     |0.010000000272564227|0.0000                            |0.0                 |6880090000000000000000000.0000     |6880090.0000     |0.8999999972743579  |7100499     |0.0               |0.0               |
|oraivaloper10n3fs6fkl4fp9dcsdfl2vl3ay7pk7snntfg7da|10.993763031386496|0.9993070000000003 |0.0000220000     |0.04999999921533748 |1000000000000000000000000.0000    |0.0                 |17991001000000000000000000.0000    |17991001.0000    |0.5000000078466253  |7100499     |0.0               |10.993763031386496|
|oraivaloper16spaytw7nhdrv9lar0quwj6eex8cw9pvmtynxd|13.51726996157511 |0.9983305000000001 |0.0000530000     |0.04999999921533748 |1000741000000000000000000.0000    |0.0                 |43878040000000000000000000.0000    |43878040.0000    |0.5000000078466253  |7100499     |0.6330738575471517|13.517510613066829|
|oraivaloper1djm07np8dzyg4et3d7dqtr3692l80nggvl0edh|13.538661842643165|0.9084420999999996 |0.0029070000     |0.030000000817692673|5740000000000000000000000.0000    |0.0                 |2409340000000000000000000000.0000  |2409340000.0000  |0.6999999918230734  |7100499     |0.6406707438377173|13.537757206952785|
|oraivaloper1cp0jml5fxkdvmajcwvkue9d0sym6s0vqly88hg|7.115499525446216 |0.0                |0.0748770000     |0.030000000817692673|6387600000000000000000000000.0000 |0.6040581851940023  |62074531518000000000000000000.0000 |62074531518.0000 |0.6999999918230734  |7100499     |0.77684579694148  |7.115793601569096 |
|oraivaloper1d0m4kwpccnydcq8f0aerzuzckgfv0eyvrw7m08|0.0               |0.9999055000000002 |0.0000030000     |0.040000001090256906|2000000000000000000000000.0000    |0.0                 |2200902000000000000000000.0000     |2200702.0000     |0.5999999890974308  |7100499     |0.0               |0.0               |
|oraivaloper1d2ths86a84rxpp7s9j64qgrypntw2pn7lndfgs|12.797591015224295|0.8244126999999997 |0.0055740000     |0.030000000817692673|1000000000000000000000000.0000    |0.0                 |4621042281000000000000000000.0000  |4621042281.0000  |0.6999999918230734  |7100499     |0.644469186983    |12.795539648442864|
|oraivaloper16e6cpk6ycddk6208fpaya7tmmardhvr7h40yqy|11.708382776973181|0.8797708000000002 |0.0038170000     |0.0699999997604659  |1000099996678133000000000000.0000 |0.013881296020473912|3164236960807635000000000000.0000  |3163920581.0000  |0.30000000239534075 |7100499     |0.6406707438377173|11.707476126942694|
