block_height,operator_address,jailed,status,tokens,commission_rate,delegator_shares,self_bonded,propose,vote,validators_count_per_block,total_token_amt_per_block,total_self_bonded_amt_per_block,tokens_proportion,voting_power_score,comission_score,self_bonded_score,vote_propose_score,score
7050515,oraivaloper1qv5jn7tueeqw7xqdn5rem7s09n7zletreera88,0,BOND_STATUS_BONDED,6465613643,3.00000008E16,6465613643000000000000000000,200000000000000000000000000,0,1,63,803642030647,49464711873402695192616029500,0.008045,0.7465824999999999,0.0,0.0,0.6327160493827161,9.250106697530864
7050515,oraivaloper1zwxeq68hunufljymhy0f0x7r2vvh9mu2hh8nt8,0,BOND_STATUS_BONDED,195209566,3.00000008E16,195209566000000000000000000,119795626000000000000000000,0,1,63,803642030647,49464711873402695192616029500,0.000243,0.9923455,0.0,0.0,0.6172839506172839,11.400245302469136
7050515,oraivaloper1rqq57xt5r5pnuguffcrltnvkul7n0jdxxdgey0,0,BOND_STATUS_BONDED,10193633794,9.9999998E16,10193633794000000000000000000,2002000000000000000000000,0,1,63,803642030647,49464711873402695192616029500,0.012684,0.6004539999999999,0.0,0.0,0.6419753086419753,7.971987234567901
7050515,oraivaloper1yc9nysml8dxy447hp3aytr0nssr9pd9a47l7gx,0,BOND_STATUS_BONDED,11570260373,4.9999999E16,11571379885310393000000000000,183501615510551720000000000,0,1,63,803642030647,49464711873402695192616029500,0.014397,0.5464945,0.0,0.0,0.6450617283950617,7.498697413580246
7050515,oraivaloper1yujklf8xlcngsdylgqj352pj9x3yvrrwf3spc8,0,BOND_STATUS_BONDED,1006050000,3.00000008E16,1006050000000000000000000000,2000000000000000000000000,0,1,63,803642030647,49464711873402695192616029500,0.001252,0.960562,0.0,0.0,0.6193415637860082,11.122424255144033
7050515,oraivaloper1xsptthm2ylfw0salut97ldfan2jt032nye7s00,0,BOND_STATUS_BONDED,2881811000,4.9999999E16,2881811000000000000000000000,255740000000000000000000000,0,1,63,803642030647,49464711873402695192616029500,0.003586,0.887041,0.0,0.0,0.6265432098765432,10.489541839506172
7050515,oraivaloper1xesqr8vjvy34jhu027zd70ypl0nnev5euy9nyl,0,BOND_STATUS_BONDED,97639601619,3.00000008E16,97639601619000000000000000000,6378650000000000000000000000,0,1,63,803642030647,49464711873402695192616029500,0.121496,0.0,0.0,0.6031207687642177,0.8549382716049383,4.625994623948189
7050515,oraivaloper18tf4uwrkcd4qk87jz3n0ruhsdzeg3fmdsdaw04,0,BOND_STATUS_BONDED,281015482,1.00000003E16,281015482000000000000000000,2000000000000000000000000,0,1,63,803642030647,49464711873402695192616029500,0.000350,0.988975,0.0,0.0,0.6172839506172839,11.369910802469137
7050515,oraivaloper1f6q9wjn8qp3ll8y8ztd8290vtec2yxyxxygyy2,0,BOND_STATUS_BONDED,76912062697,3.00000008E16,76912062697000000000000000000,309500000000000000000000000,0,1,63,803642030647,49464711873402695192616029500,0.095704,0.0,0.0,0.0,0.8024691358024691,3.2098765432098766
7050515,oraivaloper12ru3276mkzuuay6vhmg3t6z9hpvrsnplm2994n,0,BOND_STATUS_BONDED,43235585830,3.00000008E16,43235585830000000000000000000,972508660000000000000000000,0,1,63,803642030647,49464711873402695192616029500,0.053800,0.0,0.0,0.010965985300954356,0.7222222222222222,2.9108208594907974
7050515,oraivaloper1v26tdegnk79edw7xkk2xh8qn89vy6qej6yhsev,0,BOND_STATUS_BONDED,3368539172,3.00000008E16,3368876046392245600000000000,77649489825170050000000000,0,1,63,803642030647,49464711873402695192616029500,0.004192,0.867952,0.0,0.0,0.6265432098765432,10.317740839506172
7050515,oraivaloper1d2ths86a84rxpp7s9j64qgrypntw2pn7lndfgs,0,BOND_STATUS_BONDED,4613311481,3.00000008E16,4613311481000000000000000000,1000000000000000000000000,0,1,63,803642030647,49464711873402695192616029500,0.005741,0.8191585,0.0,0.0,0.6255144032921811,9.874484113168725
7050515,oraivaloper1djm07np8dzyg4et3d7dqtr3692l80nggvl0edh,0,BOND_STATUS_BONDED,2408290000,3.00000008E16,2408290000000000000000000000,5740000000000000000000000,0,1,63,803642030647,49464711873402695192616029500,0.002997,0.9055945,0.0,0.0,0.6234567901234568,10.644177660493828
7050515,oraivaloper1w96q7rrd6edc3fpmw6zayzdf5ajzucrnw3pt3s,0,BOND_STATUS_BONDED,737700900,4.9999999E16,737700900000000000000000000,1000000000000000000000000,0,1,63,803642030647,49464711873402695192616029500,0.000918,0.971083,0.0,0.0,0.6172839506172839,11.208882802469136
7050515,oraivaloper10z9f6539v0ge78xlm4yh7tddrvw445s6d7s2xq,0,BOND_STATUS_BONDED,102474300,3.00000008E16,102474300000000000000000000,75590000000000000000000000,0,1,63,803642030647,49464711873402695192616029500,0.000128,0.995968,0.0,0.0,0.6172839506172839,11.432847802469135
7050515,oraivaloper109vcny07r3waj9sld4ejasjyal0rudskeax7uc,0,BOND_STATUS_BONDED,14523875447,3.00000008E16,14523875447000000000000000000,500280000000000000000000000,0,1,63,803642030647,49464711873402695192616029500,0.018073,0.43070050000000004,0.0,0.0,0.6512345679012346,6.481242771604938
7050515,oraivaloper102rpf06zhyrfps4qzvehqjtr7rh52us5z2959t,0,BOND_STATUS_BONDED,92841000,3.00000008E16,92841000000000000000000000,2000000000000000000000000,0,1,63,803642030647,49464711873402695192616029500,0.000116,0.996346,0.0,0.0,0.6172839506172839,11.436249802469135
7050515,oraivaloper10n3fs6fkl4fp9dcsdfl2vl3ay7pk7snntfg7da,0,BOND_STATUS_BONDED,17991000,4.9999999E16,17991000000000000000000000,1000000000000000000000000,0,0,63,803642030647,49464711873402695192616029500,0.000022,0.999307,0.0,0.0,0.0,8.993763
7050515,oraivaloper130jsl66rgss6eq7qur02yfr6tzppdvxglz7n7g,0,BOND_STATUS_BONDED,1794704747,9.9999998E16,1795243149352079000000000000,1500834517219199700000000000,0,1,63,803642030647,49464711873402695192616029500,0.002233,0.9296605,0.0,0.06883548295261548,0.6213991769547325,10.990212173724162
7050515,oraivaloper13ckyvg0ah9vuujtd49yner2ky92lej6nwjvrjv,0,BOND_STATUS_BONDED,47891728179,3.00000008E16,47891728179000000000000000000,432877164000000000000000000,0,1,63,803642030647,49464711873402695192616029500,0.059593,0.0,0.0,0.0,0.7314814814814815,2.925925925925926
